ATSC8c,MATS1e,minsCH3,MATS4e,MATS4s,ATSC7i,SpMin4_Bhp,MLFER_S,ATSC4p,SpMax2_Bhm,Class
-0.0037,0.0504,0.0,0.162,0.1151,-24.844,1.892,4.56,-0.6029,4.0704,0
0.026,-0.0104,0.0,-0.0318,0.0512,-7.4117,1.864,4.094,-2.4625,4.041,0
0.0138,-0.0379,1.7769,0.0775,0.2019,0.3784,1.8639,3.618,-1.5151,3.9698,0
0.1944,-0.0059,0.0,-0.1257,-0.0837,-2.7149,1.8559,4.016,-3.1827,3.9474,0
-0.0371,-0.0089,0.0,0.0888,0.167,-16.9417,1.7798,3.25,0.1687,3.8796,0
-0.1829,-0.0405,0.0,-0.06,-0.0142,28.5984,1.9337,3.885,-2.1356,3.9519,0
0.1732,-0.0406,2.0124,0.0729,0.0526,-11.3054,1.9278,3.839,-2.9643,3.9417,0
-0.0099,0.2105,0.0,-0.129,-0.0449,6.5674,1.9042,3.73,-0.1537,3.9575,0
0.2691,-0.0264,2.0405,-0.0205,-0.0348,-26.8461,1.6808,4.286,-2.1173,3.8799,0
-0.0481,0.037,1.6571,-0.1097,-0.0318,5.4155,1.9073,4.172,-2.4951,3.9554,0
-0.0632,0.0142,1.906,0.1995,0.1025,32.5928,1.946,4.779,-4.5474,4.1187,0
-0.3332,-0.0189,2.1165,-0.0275,-0.08,5.7882,1.8877,4.794,-2.6708,3.8907,0
-0.1835,-0.0263,0.0,-0.0486,-0.0393,0.9907,1.8551,4.522,-3.1126,3.8953,0
0.0301,0.0104,2.0011,0.1208,-0.0039,9.9147,1.7991,4.037,-4.6285,4.0842,0
-0.009,-0.0237,0.0,-0.0602,0.077,-6.1731,1.6616,3.723,-1.7425,3.9522,0
0.2589,-0.0388,1.9684,-0.0227,-0.0112,-7.8304,1.8466,3.981,-4.4918,3.8815,0
-0.0996,-0.0138,0.0,0.0188,0.1118,6.7924,1.6356,3.221,-2.2824,4.0151,0
-0.3377,0.0827,0.0,0.016,-0.0717,25.6013,1.8907,4.452,-0.4554,3.8409,0
0.1289,0.0471,0.0,-0.1247,-0.136,-0.6088,1.8848,4.736,-4.001,3.8907,0
0.2304,-0.0376,0.0,-0.0845,-0.1523,6.6296,1.9046,4.551,-4.8083,3.9896,0
-0.0671,0.0323,2.0039,-0.1207,-0.1094,21.8073,1.804,4.298,-4.3664,3.8683,0
-0.1423,0.0545,0.0,0.005,0.1807,17.3068,1.91,3.314,-0.4594,3.9776,0
-0.2543,-0.0175,0.0,0.0053,0.0463,25.0578,1.7834,3.804,-4.142,3.9955,0
-0.0384,-0.036,0.0,-0.0889,-0.1276,5.8208,1.9052,3.926,-4.5767,4.0107,0
-0.0586,0.2008,1.926,0.1653,0.1028,4.6999,1.7797,4.559,-2.8112,4.0949,0
-0.0236,-0.047,0.0,-0.0451,0.0731,8.7063,1.7834,5.012,-1.7686,3.9674,0
-0.1642,0.198,0.0,-0.0699,0.0747,9.6653,1.8873,4.204,0.9511,4.0488,0
-0.0452,0.164,1.6316,-0.1473,-0.0555,-0.2711,1.9226,3.891,-2.0237,3.958,0
-0.2713,0.0955,2.0924,0.0869,0.0257,7.8689,1.9093,4.272,-1.7071,3.8956,0
0.0941,0.0786,2.0219,0.185,0.1227,8.8917,1.8241,3.197,-1.3585,3.9307,0
0.2005,-0.0406,0.0,-0.0031,0.1097,4.538,1.8343,3.652,-2.6557,3.9035,0
0.0237,-0.0382,1.8333,-0.0094,0.0316,-13.8398,1.8848,3.671,-6.8257,3.8837,0
-0.081,-0.0482,1.6729,-0.1192,-0.0475,-3.5571,1.7482,2.544,-5.4714,3.9242,0
-0.1321,0.0194,2.0517,0.1508,0.0648,25.2975,1.9475,4.779,-2.6084,4.1189,0
-0.2409,-0.042,0.0,-0.1665,0.0115,-9.7495,1.8845,5.205,0.4214,3.9327,0
0.1691,0.1335,0.0,-0.1349,-0.0184,-9.5895,1.8343,3.41,-0.501,4.0172,1
0.0321,0.1893,0.0,-0.0365,0.0026,10.0035,1.8376,3.102,-1.4404,3.9777,1
-0.0962,-0.018,2.021,0.0023,0.0197,9.2193,1.95,5.588,-1.1777,4.1192,1
0.0055,-0.0055,0.0,-0.0501,-0.0167,8.5306,1.6232,3.753,-1.1161,4.08,1
0.2512,-0.0544,0.0,-0.1277,0.0005,-31.2441,1.8503,3.446,0.422,3.993,1
-0.1539,0.0731,0.0,-0.166,-0.064,8.0617,1.7428,3.622,-0.824,4.0744,1
-0.0112,0.1742,1.9816,-0.0429,-0.056,0.6837,1.8497,3.683,-2.9955,3.8748,1
-0.0235,-0.0019,1.9484,-0.1416,-0.1325,9.3731,1.7535,3.445,-3.9462,3.8972,1
-0.1769,-0.0075,0.0,0.0304,0.0178,1.2512,1.6984,3.393,-3.7631,3.9841,1
-0.1334,0.0692,2.054,-0.1618,-0.1082,-27.6855,1.832,3.518,-4.0572,3.9283,1
